"","Z.sim","Estimator.type","Z.est"
"95",0.98659847232069,"survival analysis",0.971426010773273
"105",0.974330639224098,"survival analysis",0.959957868662246
"115",0.776236574495376,"survival analysis",0.774776763916782
"125",0.828001781523928,"survival analysis",0.823167604086841
"135",0.884884580153933,"survival analysis",0.876342440524991
"145",0.973864290416804,"survival analysis",0.959521919268963
"155",1.03213298823596,"survival analysis",1.01399231366976
"86",0.787302077944935,"cross sectional",0.876785185504576
"96",0.673820211353998,"cross sectional",0.908781911627994
"106",0.837245156332277,"cross sectional",0.769671577517065
"116",0.849741527043098,"cross sectional",0.658982870462408
"126",0.891187839651972,"cross sectional",0.691719467720052
"136",0.723759266103257,"cross sectional",0.677955337132699
"146",0.713693528411492,"cross sectional",0.788047782428576
"156",0.860258218795863,"cross sectional",0.776178323439461
"87",0.787302077944935,"survival analysis",0.780532535177169
"97",0.673820211353998,"survival analysis",0.669707144128733
"107",0.837245156332277,"survival analysis",0.829306505492545
"117",0.849741527043098,"survival analysis",0.841510351025903
"127",0.891187839651972,"survival analysis",0.8819864547452
"137",0.723759266103257,"survival analysis",0.718477184994609
"147",0.713693528411492,"survival analysis",0.708647074251877
"157",0.860258218795863,"survival analysis",0.851780859531348
"88",0.768295900137308,"cross sectional",0.948274106007556
"98",1.11539579900133,"cross sectional",1.00708219425434
"108",1.07027859593758,"cross sectional",0.91647213214522
"118",0.881289894560293,"cross sectional",0.997840292580133
"128",0.971149663240102,"cross sectional",0.874901713513986
"138",0.763108225080251,"cross sectional",0.943049877390413
"148",1.1775892192478,"cross sectional",0.931307453088668
"158",0.969334810486314,"cross sectional",0.863399912958658
"89",0.768295900137308,"survival analysis",0.780945420826547
"99",1.11539579900133,"survival analysis",1.1075792163913
"109",1.07027859593758,"survival analysis",1.06512226572607
"119",0.881289894560293,"survival analysis",0.887276933440617
"129",0.971149663240102,"survival analysis",0.971838287127313
"139",0.763108225080251,"survival analysis",0.7760636274305
"149",1.1775892192478,"survival analysis",1.16610551668912
"159",0.969334810486314,"survival analysis",0.970130443808139
"810",0.705377485493892,"cross sectional",0.67663355273044
"910",0.821833774941396,"cross sectional",0.663813742384349
"1010",0.746301627804613,"cross sectional",0.612090539181297
"1110",0.943816513921763,"cross sectional",0.676484704032995
"1210",0.766915346061441,"cross sectional",0.76442351072205
"1310",0.924416117758301,"cross sectional",0.78178884903575
"1410",0.686984314462532,"cross sectional",0.825948635079377
"1510",0.932246233556836,"cross sectional",0.844081805145335
"811",0.705377485493892,"survival analysis",0.666292379304666
"911",0.821833774941396,"survival analysis",0.812677697975384
"1011",0.746301627804613,"survival analysis",0.717733942846678
"1111",0.943816513921763,"survival analysis",0.966009752454223
"1211",0.766915346061441,"survival analysis",0.743645344715397
"1311",0.924416117758301,"survival analysis",0.941623493985919
"1411",0.686984314462532,"survival analysis",0.643172200776186
"1511",0.932246233556836,"survival analysis",0.951465933598541
"812",1.15262810458408,"cross sectional",0.958132351687461
"912",0.965206763829013,"cross sectional",0.953396593644752
"1012",1.02853087331328,"cross sectional",1.05092914723828
"1112",0.76647144977374,"cross sectional",1.00263589038721
"1212",1.07137015886428,"cross sectional",0.986762058110633
"1312",0.836525869548271,"cross sectional",1.06223799333745
"1412",0.985826699546702,"cross sectional",0.923344244468023
"1512",0.896283179573362,"cross sectional",0.886391434224135
"813",1.15262810458408,"survival analysis",1.13789399014681
"913",0.965206763829013,"survival analysis",0.966842000373427
"1013",1.02853087331328,"survival analysis",1.0246353919065
"1113",0.76647144977374,"survival analysis",0.785464197982082
"1213",1.07137015886428,"survival analysis",1.06373310086776
"1313",0.836525869548271,"survival analysis",0.849400075543184
"1413",0.985826699546702,"survival analysis",0.985660994087272
"1513",0.896283179573362,"survival analysis",0.903938191331478
"814",0.911969506485483,"cross sectional",0.86438794490379
"914",0.825033068536695,"cross sectional",0.933111499801173
"1014",0.777470070010303,"cross sectional",0.763518702850647
"1114",0.846979850239834,"cross sectional",0.867040807378182
"1214",1.06405077764284,"cross sectional",0.916417423716773
"1314",0.85753083568614,"cross sectional",0.865539667570551
"1414",0.832300265555411,"cross sectional",0.773296019913691
"1514",0.815887235034803,"cross sectional",0.788842185959068
"815",0.911969506485483,"survival analysis",0.904819955158257
"915",0.825033068536695,"survival analysis",0.823191728040337
"1015",0.777470070010303,"survival analysis",0.778532856136606
"1115",0.846979850239834,"survival analysis",0.843798471583552
"1215",1.06405077764284,"survival analysis",1.04761536793705
"1315",0.85753083568614,"survival analysis",0.853705229401674
"1415",0.832300265555411,"survival analysis",0.830015200714751
"1515",0.815887235034803,"survival analysis",0.8146043256589
"816",0.674884396151056,"cross sectional",0.898209697977905
"916",0.863291387846984,"cross sectional",0.755998570396991
