"","Z.sim","Estimator.type","Z.est"
"135",0.981758569291315,"survival analysis",0.966650114066497
"145",0.848006107209072,"survival analysis",0.839822635958241
"155",0.918394685198975,"survival analysis",0.906566871504324
"86",1.17702665170704,"cross sectional",1.25882932763273
"96",0.905393043441632,"cross sectional",1.25636115881418
"106",1.16594350787774,"cross sectional",1.23631708784699
"116",1.06347119885686,"cross sectional",1.0778446191199
"126",0.981708513111566,"cross sectional",1.15684002334208
"136",1.30610055616823,"cross sectional",0.984613800837533
"146",1.28910681624674,"cross sectional",1.09050967304786
"156",1.09863772437583,"cross sectional",1.10564038989247
"87",1.17702665170704,"survival analysis",1.17634079123228
"97",0.905393043441632,"survival analysis",0.887081364434473
"107",1.16594350787774,"survival analysis",1.16453848204214
"117",1.06347119885686,"survival analysis",1.05541692834594
"127",0.981708513111566,"survival analysis",0.968348808303058
"137",1.30610055616823,"survival analysis",1.31379007027185
"147",1.28910681624674,"survival analysis",1.29569363699089
"157",1.09863772437583,"survival analysis",1.09286534674691
"88",0.792898137283974,"cross sectional",0.832854830131903
"98",0.962383745991881,"cross sectional",0.759891009847079
"108",0.917910166764156,"cross sectional",0.779075377459331
"118",0.913314793828983,"cross sectional",0.807343311614951
"128",0.753204721333628,"cross sectional",0.855761129658978
"138",0.895234181384702,"cross sectional",0.896270299692361
"148",0.854821230445181,"cross sectional",0.935682339877946
"158",0.844719283100547,"cross sectional",0.891064606147898
"89",0.792898137283974,"survival analysis",0.80074023756076
"99",0.962383745991881,"survival analysis",0.966266182464344
"109",0.917910166764156,"survival analysis",0.922831631996991
"119",0.913314793828983,"survival analysis",0.918343619987725
"129",0.753204721333628,"survival analysis",0.761974172219157
"139",0.895234181384702,"survival analysis",0.900685421854614
"149",0.854821230445181,"survival analysis",0.861216631898914
"159",0.844719283100547,"survival analysis",0.851350694653064
"810",0.937957259869149,"cross sectional",0.924386654237143
"910",0.798690196001894,"cross sectional",0.981310372836479
"1010",0.959154942547312,"cross sectional",1.05975147579924
"1110",0.826983169722983,"cross sectional",0.950690868697461
"1210",1.0539767076717,"cross sectional",0.981549694122479
"1310",1.18666729585642,"cross sectional",0.980636158921578
"1410",0.982756968404272,"cross sectional",0.886963598410598
"1510",0.845079151324647,"cross sectional",0.977311333605618
"811",0.937957259869149,"survival analysis",0.931784544042227
"911",0.798690196001894,"survival analysis",0.791005965822394
"1011",0.959154942547312,"survival analysis",0.953212292614793
